engine,uptake_basis,vfm_scenario,FY,component,series_id,source_share,normalised_share,common_pool_km,expected_km,observed_km,abs_difference,matches
ensemble,MoT VFM slow,Slow_EV,2040,bev,light_bev_ruc_net_km,0.460984,0.460984,32991.65214209246,15208.623771070352,15208.623771070352,0.0,True
ensemble,MoT VFM slow,Slow_EV,2040,phev,phev_ruc_net_km,0.118142,0.118142,32991.65214209246,3897.6997673710875,3897.6997673710875,0.0,True
ensemble,MoT VFM base,Base_EV,2050,conventional,light_ruc_net_km,0.119794,0.119794,51820.865771659235,6207.8287942501465,6207.828794250147,9.094947017729282e-13,True
ensemble,MoT VFM base,Base_EV,2050,bev,light_bev_ruc_net_km,0.821498,0.821498,51820.865771659235,42570.73758968651,42570.73758968652,7.275957614183426e-12,True
ensemble,MoT VFM base,Base_EV,2050,phev,phev_ruc_net_km,0.058708,0.058708,51820.865771659235,3042.2993877225704,3042.299387722571,4.547473508864641e-13,True
ensemble,MoT VFM fast,Fast_EV,2050,conventional,light_ruc_net_km,0.082622,0.082622,51820.865771659235,4281.543571786029,4281.54357178603,9.094947017729282e-13,True
ensemble,MoT VFM fast,Fast_EV,2050,bev,light_bev_ruc_net_km,0.857992,0.857992,51820.865771659235,44461.888265157446,44461.88826515745,7.275957614183426e-12,True
ensemble,MoT VFM fast,Fast_EV,2050,phev,phev_ruc_net_km,0.059386,0.059386,51820.865771659235,3077.433934715755,3077.4339347157556,4.547473508864641e-13,True
ensemble,MoT VFM slow,Slow_EV,2050,conventional,light_ruc_net_km,0.172955,0.17295482704517293,51820.865771659235,8962.668876868445,8962.668876868445,0.0,True
ensemble,MoT VFM slow,Slow_EV,2050,bev,light_bev_ruc_net_km,0.76919,0.7691892308107692,51820.865771659235,39860.05188285068,39860.05188285069,7.275957614183426e-12,True
ensemble,MoT VFM slow,Slow_EV,2050,phev,phev_ruc_net_km,0.057856,0.05785594214405784,51820.865771659235,2998.1450119401043,2998.1450119401047,4.547473508864641e-13,True
ar1,MoT VFM base,Base_EV,2030,conventional,light_ruc_net_km,0.732447,0.732447,19868.974867890254,14552.971035061611,14552.971035061611,0.0,True
ar1,MoT VFM base,Base_EV,2030,bev,light_bev_ruc_net_km,0.172989,0.172989,19868.974867890254,3437.1140934214673,3437.1140934214673,0.0,True
ar1,MoT VFM base,Base_EV,2030,phev,phev_ruc_net_km,0.094564,0.094564,19868.974867890254,1878.889739407174,1878.889739407174,0.0,True
ar1,MoT VFM fast,Fast_EV,2030,conventional,light_ruc_net_km,0.690103,0.690103,19868.974867890254,13711.639163255668,13711.639163255668,0.0,True
ar1,MoT VFM fast,Fast_EV,2030,bev,light_bev_ruc_net_km,0.196166,0.196166,19868.974867890254,3897.61732393456,3897.61732393456,0.0,True
ar1,MoT VFM fast,Fast_EV,2030,phev,phev_ruc_net_km,0.113731,0.113731,19868.974867890254,2259.7183807000265,2259.7183807000265,0.0,True
ar1,MoT VFM slow,Slow_EV,2030,conventional,light_ruc_net_km,0.783782,0.783782,19868.974867890254,15572.94485990476,15572.94485990476,0.0,True
ar1,MoT VFM slow,Slow_EV,2030,bev,light_bev_ruc_net_km,0.13728,0.13728,19868.974867890254,2727.6128698639745,2727.6128698639745,0.0,True
ar1,MoT VFM slow,Slow_EV,2030,phev,phev_ruc_net_km,0.078938,0.078938,19868.974867890254,1568.4171381215208,1568.4171381215208,0.0,True
ar1,MoT VFM base,Base_EV,2031,conventional,light_ruc_net_km,0.694056,0.694056,20738.422218140862,14393.626371033974,14393.626371033974,0.0,True
ar1,MoT VFM base,Base_EV,2031,bev,light_bev_ruc_net_km,0.199459,0.199459,20738.422218140862,4136.464957208158,4136.464957208158,0.0,True
ar1,MoT VFM base,Base_EV,2031,phev,phev_ruc_net_km,0.106485,0.106485,20738.422218140862,2208.3308898987298,2208.3308898987298,0.0,True
ar1,MoT VFM fast,Fast_EV,2031,conventional,light_ruc_net_km,0.644526,0.644526,20738.422218140862,13366.452318569458,13366.452318569458,0.0,True
ar1,MoT VFM fast,Fast_EV,2031,bev,light_bev_ruc_net_km,0.228373,0.228373,20738.422218140862,4736.095697223483,4736.095697223483,0.0,True
ar1,MoT VFM fast,Fast_EV,2031,phev,phev_ruc_net_km,0.127101,0.127101,20738.422218140862,2635.8742023479217,2635.8742023479217,0.0,True
ar1,MoT VFM slow,Slow_EV,2031,conventional,light_ruc_net_km,0.753142,0.753142,20738.422218140862,15618.976786215046,15618.976786215046,0.0,True
ar1,MoT VFM slow,Slow_EV,2031,bev,light_bev_ruc_net_km,0.157968,0.157968,20738.422218140862,3276.007080955276,3276.007080955276,0.0,True
ar1,MoT VFM slow,Slow_EV,2031,phev,phev_ruc_net_km,0.08889,0.08889,20738.422218140862,1843.4383509705413,1843.4383509705413,0.0,True
ar1,MoT VFM base,Base_EV,2040,conventional,light_ruc_net_km,0.322306,0.322306,32991.65214209246,10633.407435309253,10633.407435309253,0.0,True
ar1,MoT VFM base,Base_EV,2040,bev,light_bev_ruc_net_km,0.550009,0.550009,32991.65214209246,18145.70560302013,18145.70560302013,0.0,True
ar1,MoT VFM base,Base_EV,2040,phev,phev_ruc_net_km,0.127685,0.127685,32991.65214209246,4212.539103763076,4212.539103763076,0.0,True
ar1,MoT VFM fast,Fast_EV,2040,conventional,light_ruc_net_km,0.255155,0.255155,32991.65214209246,8417.985002315603,8417.985002315603,0.0,True
ar1,MoT VFM fast,Fast_EV,2040,bev,light_bev_ruc_net_km,0.608517,0.608517,32991.65214209246,20075.981186549678,20075.981186549678,0.0,True
ar1,MoT VFM fast,Fast_EV,2040,phev,phev_ruc_net_km,0.136328,0.136328,32991.65214209246,4497.685953227181,4497.685953227181,0.0,True
ar1,MoT VFM slow,Slow_EV,2040,conventional,light_ruc_net_km,0.420874,0.420874,32991.65214209246,13885.328603651024,13885.328603651024,0.0,True
ar1,MoT VFM slow,Slow_EV,2040,bev,light_bev_ruc_net_km,0.460984,0.460984,32991.65214209246,15208.623771070352,15208.623771070352,0.0,True
ar1,MoT VFM slow,Slow_EV,2040,phev,phev_ruc_net_km,0.118142,0.118142,32991.65214209246,3897.6997673710875,3897.6997673710875,0.0,True
ar1,MoT VFM base,Base_EV,2050,conventional,light_ruc_net_km,0.119794,0.119794,51820.865771659235,6207.8287942501465,6207.828794250147,9.094947017729282e-13,True
ar1,MoT VFM base,Base_EV,2050,bev,light_bev_ruc_net_km,0.821498,0.821498,51820.865771659235,42570.73758968651,42570.73758968652,7.275957614183426e-12,True
ar1,MoT VFM base,Base_EV,2050,phev,phev_ruc_net_km,0.058708,0.058708,51820.865771659235,3042.2993877225704,3042.299387722571,4.547473508864641e-13,True
ar1,MoT VFM fast,Fast_EV,2050,conventional,light_ruc_net_km,0.082622,0.082622,51820.865771659235,4281.543571786029,4281.54357178603,9.094947017729282e-13,True
ar1,MoT VFM fast,Fast_EV,2050,bev,light_bev_ruc_net_km,0.857992,0.857992,51820.865771659235,44461.888265157446,44461.88826515745,7.275957614183426e-12,True
ar1,MoT VFM fast,Fast_EV,2050,phev,phev_ruc_net_km,0.059386,0.059386,51820.865771659235,3077.433934715755,3077.4339347157556,4.547473508864641e-13,True
ar1,MoT VFM slow,Slow_EV,2050,conventional,light_ruc_net_km,0.172955,0.17295482704517293,51820.865771659235,8962.668876868445,8962.668876868445,0.0,True
ar1,MoT VFM slow,Slow_EV,2050,bev,light_bev_ruc_net_km,0.76919,0.7691892308107692,51820.865771659235,39860.05188285068,39860.05188285069,7.275957614183426e-12,True
ar1,MoT VFM slow,Slow_EV,2050,phev,phev_ruc_net_km,0.057856,0.05785594214405784,51820.865771659235,2998.1450119401043,2998.1450119401047,4.547473508864641e-13,True
