caller,kind,location,engine_identity,destination_before_fix,destination_after_fix,change
app.cached_load_evidence_pack,application,app.py:559/567 -> evidence_pack.py:245,active engine (engine_default() = ar1 when unset),artifacts/chart_sources (TRACKED),nothing written,materialisation is now opt-in and defaults off
model_dashboard.data.parquet_loader._write_reconciliation_source_tables,library,parquet_loader.py:627,pack passed in by caller,artifacts/chart_sources (TRACKED),nothing written,same opt-in flag threaded through load_parquet_dashboard
scripts/promote_chart_sources.py,explicit promotion,new in this change,ensemble by default; ar1 only to a diagnostic dir,n/a (did not exist),artifacts/chart_sources (TRACKED) via mode=promote,the one sanctioned publisher
scripts/validate_chart_sources.py,validator,validate_chart_sources.py:60,DEFAULT_EVIDENCE_PACK_ROOT (ensemble),artifacts/chart_sources (TRACKED) as a side effect,test-output/chart_sources/validate-chart-sources-<pid>,materialises to run-scoped scratch
scripts/validate_dashboard_data.py,validator,validate_dashboard_data.py:79,DEFAULT_EVIDENCE_PACK_ROOT (ensemble),artifacts/chart_sources (TRACKED) as a side effect,test-output/chart_sources/validate-dashboard-data-<pid>,materialises to run-scoped scratch
scripts/validate_80_gates.py,validator,validate_80_gates.py:172,DEFAULT_EVIDENCE_PACK_ROOT (ensemble),artifacts/chart_sources (TRACKED) as a side effect,test-output/chart_sources/validate-80-gates-<pid>,also repairs a gate that previously passed vacuously on a fresh clone
scripts/validate_120_gates.py,validator,validate_120_gates.py:66,DEFAULT_EVIDENCE_PACK_ROOT (ensemble),artifacts/chart_sources (TRACKED) as a side effect,test-output/chart_sources/validate-120-gates-<pid>,materialises to run-scoped scratch
scripts/validate_semantic_labels.py,validator,validate_semantic_labels.py:36,DEFAULT_EVIDENCE_PACK_ROOT (ensemble),artifacts/chart_sources (TRACKED) as a side effect,test-output/chart_sources/validate-semantic-labels-<pid>,also repairs a check that previously skipped silently on a fresh clone
scripts/validate_light_ruc_reproducibility.py,validator,validate_light_ruc_reproducibility.py:256,DEFAULT_EVIDENCE_PACK_ROOT (ensemble),artifacts/chart_sources (TRACKED) as a side effect,test-output/chart_sources/validate-light-ruc-<pid>,before/after hashing now covers the freshly generated set
ci/r2_writer_audit.py,audit tool,r2_writer_audit.py:94,--engine argument,its own --chart-output-dir (already refused the tracked dir),unchanged; now asks for materialisation explicitly,would otherwise have audited an empty directory and reported success
tests/* (10 modules),test,session fixtures,DEFAULT_EVIDENCE_PACK_ROOT or fixture root,conftest scratch via NLTF_CHART_SOURCE_OUTPUT_DIR,unchanged destination; materialisation now requested explicitly,two cross-test ordering dependencies removed
scripts/inspect_parquet_schema.py,diagnostic,inspect_parquet_schema.py:124,pack argument,artifacts/chart_sources (TRACKED) as a side effect,nothing written,reads only in-memory data; it was incidentally priming the tree for later validators
scripts/benchmark_dashboard.py,benchmark,benchmark_dashboard.py:329,pack argument,artifacts/chart_sources (TRACKED) as a side effect,nothing written,reads only in-memory data
