scenario_name,scenario_role,differing_fields,population_only_flag,behavioural_driver_flag,affected_series,interpretation,display_policy,field_classification,affects_ped_vktpc_directly,affects_bridge_scaling,stream_differing_fields,ped_vktpc_direct_fields,bridge_scaling_fields,bridge_only_fields,unknown_fields,runtime_delta_min,runtime_delta_max,ped_population_feature_present,ped_population_feature_fields,vktpc_path_policy,population_path_policy,source_basis,notes
current_basecase,basecase,none,False,False,ped_vkt_per_capita,Basecase runtime path is the behavioural reference for current finalist Revenue Outlook traces.,basecase_reference,basecase_reference,False,False,none,,,,,,,True,population; population__level,basecase_reference_path,basecase_bridge_population,repo-local current Revenue Outlook runtime and PED feature rows,
current_basecase,basecase,none,False,False,ped_volume,Basecase runtime path is the behavioural reference for current finalist Revenue Outlook traces.,basecase_reference,basecase_reference,False,False,none,,,,,,,True,population; population__level,basecase_reference_path,basecase_bridge_population,repo-local current Revenue Outlook runtime and PED feature rows,
current_basecase,basecase,none,False,False,gross_ped_revenue,Basecase runtime path is the behavioural reference for current finalist Revenue Outlook traces.,basecase_reference,basecase_reference,False,False,none,,,,,,,True,population; population__level,basecase_reference_path,basecase_bridge_population,repo-local current Revenue Outlook runtime and PED feature rows,
current_basecase,basecase,none,False,False,light_ruc_net_km,Basecase runtime path is the behavioural reference for current finalist Revenue Outlook traces.,basecase_reference,basecase_reference,False,False,none,,,,,,,True,population; population__level,basecase_reference_path,basecase_bridge_population,repo-local current Revenue Outlook runtime and PED feature rows,
current_basecase,basecase,none,False,False,heavy_ruc_net_km,Basecase runtime path is the behavioural reference for current finalist Revenue Outlook traces.,basecase_reference,basecase_reference,False,False,none,,,,,,,True,population; population__level,basecase_reference_path,basecase_bridge_population,repo-local current Revenue Outlook runtime and PED feature rows,
current_basecase,basecase,none,False,False,total_ruc_net_revenue,Basecase runtime path is the behavioural reference for current finalist Revenue Outlook traces.,basecase_reference,basecase_reference,False,False,none,,,,,,,True,population; population__level,basecase_reference_path,basecase_bridge_population,repo-local current Revenue Outlook runtime and PED feature rows,
current_basecase,basecase,none,False,False,total_fed_ruc_net_revenue,Basecase runtime path is the behavioural reference for current finalist Revenue Outlook traces.,basecase_reference,basecase_reference,False,False,none,,,,,,,True,population; population__level,basecase_reference_path,basecase_bridge_population,repo-local current Revenue Outlook runtime and PED feature rows,
current_basecase,basecase,none,False,False,total_nltf_net_revenue,Basecase runtime path is the behavioural reference for current finalist Revenue Outlook traces.,basecase_reference,basecase_reference,False,False,none,,,,,,,True,population; population__level,basecase_reference_path,basecase_bridge_population,repo-local current Revenue Outlook runtime and PED feature rows,
current_comparison_1,comparison,diff_log_real_gdp; diff_log_target_lag_1_lag_4; gdp_heavy_ruc_price_interaction; gdp_light_ruc_price_interaction; gdp_petrol_interaction; log_population; log_real_gdp; log_real_gdp_per_capita; log_target_lag_1; log_target_lag_4; log_unemployment_rate; population; real_gdp_per_capita_nzd; real_gdp_sa_nzd; target_lag_1; target_lag_4; unemployment_rate,False,True,ped_vkt_per_capita,"Comparison PED VKT per capita is treated as a behavioural comparison path, not a pure high-population scale path, because the committed runtime path changes per-capita values, the workbook changes behavioural inputs, or PED feature evidence includes population exposure.",keep_trace_relabel_comparison_behavioural_path,diff_log_real_gdp:macro; diff_log_target_lag_1_lag_4:behavioural; gdp_heavy_ruc_price_interaction:price/rate/policy; gdp_light_ruc_price_interaction:price/rate/policy; gdp_petrol_interaction:price/rate/policy; log_population:population/scale; log_real_gdp:macro; log_real_gdp_per_capita:macro; log_target_lag_1:behavioural; log_target_lag_4:behavioural; log_unemployment_rate:macro; population:population/scale; real_gdp_per_capita_nzd:macro; real_gdp_sa_nzd:macro; target_lag_1:behavioural; target_lag_4:behavioural; unemployment_rate:macro,True,True,diff_log_target_lag_1_lag_4; gdp_petrol_interaction; log_population; log_real_gdp_per_capita; log_target_lag_1; log_target_lag_4; log_unemployment_rate; population; real_gdp_per_capita_nzd; target_lag_1; target_lag_4; unemployment_rate,diff_log_target_lag_1_lag_4; gdp_petrol_interaction; log_population; log_real_gdp_per_capita; log_target_lag_1; log_target_lag_4; log_unemployment_rate; population; real_gdp_per_capita_nzd; target_lag_1; target_lag_4; unemployment_rate,population,,,-23.000332568950398,0.0,True,population; population__level,comparison_behavioural_path,scenario_input_population_from_committed_workbook_artifacts,"repo-local runtime chart rows, scenario_input_wide and PED prediction feature rows",
current_comparison_1,comparison,diff_log_real_gdp; diff_log_target_lag_1_lag_4; gdp_heavy_ruc_price_interaction; gdp_light_ruc_price_interaction; gdp_petrol_interaction; log_population; log_real_gdp; log_real_gdp_per_capita; log_target_lag_1; log_target_lag_4; log_unemployment_rate; population; real_gdp_per_capita_nzd; real_gdp_sa_nzd; target_lag_1; target_lag_4; unemployment_rate,False,True,ped_volume,"Keep the comparison trace for revenue and aggregate series because bridge composition, population-scale assumptions, or modelled activity can change totals even when per-capita intensity is a behavioural metric.",keep_comparison_trace_scale_or_bridge,diff_log_real_gdp:macro; diff_log_target_lag_1_lag_4:behavioural; gdp_heavy_ruc_price_interaction:price/rate/policy; gdp_light_ruc_price_interaction:price/rate/policy; gdp_petrol_interaction:price/rate/policy; log_population:population/scale; log_real_gdp:macro; log_real_gdp_per_capita:macro; log_target_lag_1:behavioural; log_target_lag_4:behavioural; log_unemployment_rate:macro; population:population/scale; real_gdp_per_capita_nzd:macro; real_gdp_sa_nzd:macro; target_lag_1:behavioural; target_lag_4:behavioural; unemployment_rate:macro,True,True,diff_log_target_lag_1_lag_4; gdp_petrol_interaction; log_population; log_real_gdp_per_capita; log_target_lag_1; log_target_lag_4; log_unemployment_rate; population; real_gdp_per_capita_nzd; target_lag_1; target_lag_4; unemployment_rate,diff_log_target_lag_1_lag_4; gdp_petrol_interaction; log_population; log_real_gdp_per_capita; log_target_lag_1; log_target_lag_4; log_unemployment_rate; population; real_gdp_per_capita_nzd; target_lag_1; target_lag_4; unemployment_rate,population,,,0.0,67.92075380901633,True,population; population__level,inherits_PED_contract,scenario_input_population_from_committed_workbook_artifacts,repo-local current Revenue Outlook runtime and scenario_input_wide,
