fy,candidate_id,w,h_light_petrol_vkt,h_light_ruc_pool,h_heavy_ruc_net_km
2038,early_structural,0.8960000000000001,0.8483276416169161,1.4577295715529475,0.9765933011891611
2039,early_structural,0.972,0.7926340674788747,1.5445827768823444,0.961886988467047
2040,early_structural,1.0,0.7402826388437084,1.6429742639720404,0.9497998134050459
2041,early_structural,1.0,0.691273142710947,1.747823962007463,0.9400390195950553
2042,early_structural,1.0,0.6362127127332404,1.8568541285445173,0.9299330231316383
2043,early_structural,1.0,0.5806720229248143,1.9647903017097512,0.9189300477394867
2044,early_structural,1.0,0.527903379303868,2.0627277408210074,0.9074015012120238
2045,early_structural,1.0,0.4788218272603616,2.154792840672799,0.8954198309618537
2046,early_structural,1.0,0.4338845007063796,2.2504453398228947,0.8823568764605465
2047,early_structural,1.0,0.39285655342630893,2.345126276916079,0.868554474555154
2048,early_structural,1.0,0.3559736703503334,2.4441565970178205,0.8540381586632745
2049,early_structural,1.0,0.322408849822407,2.5337340676382296,0.8388100343206689
2050,early_structural,1.0,0.29185840595858037,2.608129816269767,0.8233910557709903
2030,balanced_structural,0.0,1.0,1.0,1.0
2031,balanced_structural,0.01274074074074074,1.0073876498732897,1.0437590442401588,1.0088642277861428
2032,balanced_structural,0.04859259259259259,1.0113348032937433,1.0896737522431927,1.0156746138520965
2033,balanced_structural,0.10400000000000002,1.0112986353626614,1.138653875621785,1.0205236276849927
2034,balanced_structural,0.1754074074074074,1.0074665750704408,1.1937216765989147,1.0238794288256448
2035,balanced_structural,0.25925925925925924,0.9978151083376607,1.2556357932082134,1.0242275123944837
2036,balanced_structural,0.3520000000000001,0.9804495688247044,1.3228618133216479,1.0212223265142308
2037,balanced_structural,0.45007407407407407,0.9537569685162681,1.395940403492782,1.0149190987522674
2038,balanced_structural,0.5499259259259259,0.9161440357848355,1.474665807255807,1.0057112709647384
2039,balanced_structural,0.6480000000000001,0.8674265592955481,1.563362043118122,0.9934709803189995
2040,balanced_structural,0.7407407407407408,0.808988544218117,1.66046071130773,0.9786252891200574
2041,balanced_structural,0.8245925925925925,0.7433589988968832,1.7614564627086413,0.9619477017397821
2042,balanced_structural,0.8960000000000001,0.6701518321451629,1.865852565068415,0.9443195987563728
2043,balanced_structural,0.9514074074074073,0.5976649761758952,1.9693224896346864,0.9263386787127837
2044,balanced_structural,0.9872592592592591,0.5325741688439426,2.0639980216992933,0.9095277192589512
2045,balanced_structural,1.0,0.4788218272603616,2.154792840672799,0.8954198309618537
2046,balanced_structural,1.0,0.4338845007063796,2.2504453398228947,0.8823568764605465
2047,balanced_structural,1.0,0.39285655342630893,2.345126276916079,0.868554474555154
2048,balanced_structural,1.0,0.3559736703503334,2.4441565970178205,0.8540381586632745
2049,balanced_structural,1.0,0.322408849822407,2.5337340676382296,0.8388100343206689
2050,balanced_structural,1.0,0.29185840595858037,2.608129816269767,0.8233910557709903
2030,gradual_structural,0.0,1.0,1.0,1.0
2031,gradual_structural,0.007250000000000001,1.0074737061829233,1.0437817938218683,1.0089061588043553
2032,gradual_structural,0.028000000000000004,1.011993527902063,1.0898492506591517,1.015981621446857
2033,gradual_structural,0.060750000000000005,1.0135495127241287,1.1392551267206557,1.0214903367101924
2034,gradual_structural,0.10400000000000002,1.0128159568617738,1.1951180611555126,1.0262602321995586
2035,gradual_structural,0.15625,1.0082894532572673,1.2582715185473283,1.029036578136478
2036,gradual_structural,0.21600000000000003,0.9985732108545463,1.3273081654940784,1.0293157074394563
2037,gradual_structural,0.28174999999999994,0.9821696733018842,1.4027122903097098,1.0271293043887788
2038,gradual_structural,0.3520000000000001,0.9573393135802959,1.4844402444881544,1.0227529625980913
2039,gradual_structural,0.42525,0.9229011824721017,1.576405065659925,1.0157845231972333
2040,gradual_structural,0.5,0.8784842480155957,1.67686473003016,1.0061745657090937
2041,gradual_structural,0.5747500000000001,0.8243952779186157,1.7810577846246456,0.9940379612085746
2042,gradual_structural,0.6480000000000001,0.7585706659525625,1.8874867452456146,0.9795306458405042
2043,gradual_structural,0.71825,0.6863798256626034,1.9912147253897945,0.9627262428770456
2044,gradual_structural,0.7839999999999999,0.6129325136526255,2.0843695477958666,0.9441300012632378
2045,gradual_structural,0.84375,0.5419107877612872,2.171296446671145,0.9242594277823823
2046,gradual_structural,0.8960000000000001,0.4761540520426258,2.2616912338678667,0.9031096647677056
2047,gradual_structural,0.9392499999999997,0.4173491117212542,2.3518685501263663,0.8815957082000775
2048,gradual_structural,0.972,0.3670741209108862,2.4472463149181514,0.8604773485829492
2049,gradual_structural,0.9927500000000002,0.32522199533261914,2.5345264432035526,0.8405901944657184
2050,gradual_structural,1.0,0.29185840595858037,2.608129816269767,0.8233910557709903
