scenario_name,role,workbook_filename,workbook_sha256,sheet,stream,cell,row_number,column_number,row_label,column_label,period,canonical_period,variable_name,canonical_variable,value,unit,value_type,source_status
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,A1,1,1,1,NLTF forecast input template,,,NLTF forecast input template,nltf_forecast_input_template,NLTF forecast input template,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,B1,1,2,1,Base Case to 2050,,,Base Case to 2050,base_case_to_2050,Base Case to 2050,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,A2,2,1,2,NLTF forecast input template,,,NLTF forecast input template,nltf_forecast_input_template,Scenario name,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,B2,2,2,2,Base Case to 2050,,,Base Case to 2050,base_case_to_2050,basecase,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,A3,3,1,3,NLTF forecast input template,,,NLTF forecast input template,nltf_forecast_input_template,Forecast horizon,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,B3,3,2,3,Base Case to 2050,,,Base Case to 2050,base_case_to_2050,100 quarters: 2026Q1 to 2050Q4,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,A4,4,1,4,NLTF forecast input template,,,NLTF forecast input template,nltf_forecast_input_template,Purpose,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,B4,4,2,4,Base Case to 2050,,,Base Case to 2050,base_case_to_2050,Proof-of-concept long-range forecast assumptions for testing the Forecast Builder.,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,A5,5,1,5,NLTF forecast input template,,,NLTF forecast input template,nltf_forecast_input_template,Important warning,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,B5,5,2,5,Base Case to 2050,,,Base Case to 2050,base_case_to_2050,Illustrative assumptions only. Not an official forecast or policy scenario.,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,A6,6,1,6,NLTF forecast input template,,,NLTF forecast input template,nltf_forecast_input_template,What to edit,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,B6,6,2,6,Base Case to 2050,,,Base Case to 2050,base_case_to_2050,User may change assumption columns in the three input sheets; derived fields are pre-populated as values for Streamlit compatibility.,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,A7,7,1,7,NLTF forecast input template,,,NLTF forecast input template,nltf_forecast_input_template,Runner rule,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,B7,7,2,7,Base Case to 2050,,,Base Case to 2050,base_case_to_2050,The runner scores only continuous valid rows present across all three stream sheets.,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,A8,8,1,8,NLTF forecast input template,,,NLTF forecast input template,nltf_forecast_input_template,Scenario naming,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,B8,8,2,8,Base Case to 2050,,,Base Case to 2050,base_case_to_2050,The dashboard should infer scenario name from the workbook filename suffix.,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,A9,9,1,9,NLTF forecast input template,,,NLTF forecast input template,nltf_forecast_input_template,Base case summary,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,B9,9,2,9,Base Case to 2050,,,Base Case to 2050,base_case_to_2050,"Moderate real GDP growth, easing population growth, real fuel prices partly normalising from recent highs, RUC prices broadly flat in real terms.",,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,A10,10,1,10,NLTF forecast input template,,,NLTF forecast input template,nltf_forecast_input_template,High population summary,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,B10,10,2,10,Base Case to 2050,,,Base Case to 2050,base_case_to_2050,"Population follows a moderate path, easing toward 0.55% p.a. over the long run.",,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,A11,11,1,11,NLTF forecast input template,,,NLTF forecast input template,nltf_forecast_input_template,Generated by,,text,materialized_from_workbook_cell
current_basecase,basecase,NLTF_forecast_input_template_to_2050Q4_basecase _2_ - Copy.xlsx,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,README,,B11,11,2,11,Base Case to 2050,,,Base Case to 2050,base_case_to_2050,ChatGPT proof-of-concept scenario builder,,text,materialized_from_workbook_cell
