path_id,path_order,path_label,scenario_family_id,scenario_order,scenario_id,scenario_label,conflict_severity,policy_state,policy_label,timing_id,delay_months,delay_quarters,start_period,direct_affected_periods,synthetic_status,status_note
baseline_published,0,Current finalist Base case - 12c original timing: from 1 Jan 2027,base,0,current_basecase,Current finalist Base case,base,published,12c original timing: from 1 Jan 2027,published,0,0,2027Q1,,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
baseline_shifted_6m,1,Current finalist Base case - 12c deferred six months: from 1 Jul 2027,base,0,current_basecase_12c_delay_6m,Current finalist Base case,base,delay_6m,12c deferred six months: from 1 Jul 2027,delayed_6m,6,2,2027Q3,2027Q1;2027Q2,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
baseline_shifted_12m,2,Current finalist Base case - 12c deferred 12 months: from 1 Jan 2028,base,0,current_basecase_12c_delay_12m,Current finalist Base case,base,delay_12m,12c deferred 12 months: from 1 Jan 2028,delayed_12m,12,4,2028Q1,2027Q1;2027Q2;2027Q3;2027Q4,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
baseline_shifted_18m,3,Current finalist Base case - 12c deferred 18 months: from 1 Jul 2028,base,0,current_basecase_12c_delay_18m,Current finalist Base case,base,delay_18m,12c deferred 18 months: from 1 Jul 2028,delayed_18m,18,6,2028Q3,2027Q1;2027Q2;2027Q3;2027Q4;2028Q1;2028Q2,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
baseline_shifted_24m,4,Current finalist Base case - 12c deferred 24 months: from 1 Jan 2029,base,0,current_basecase_12c_delay_24m,Current finalist Base case,base,delay_24m,12c deferred 24 months: from 1 Jan 2029,delayed_24m,24,8,2029Q1,2027Q1;2027Q2;2027Q3;2027Q4;2028Q1;2028Q2;2028Q3;2028Q4,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
baseline_shifted_30m,5,Current finalist Base case - 12c deferred 30 months: from 1 Jul 2029,base,0,current_basecase_12c_delay_30m,Current finalist Base case,base,delay_30m,12c deferred 30 months: from 1 Jul 2029,delayed_30m,30,10,2029Q3,2027Q1;2027Q2;2027Q3;2027Q4;2028Q1;2028Q2;2028Q3;2028Q4;2029Q1;2029Q2,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
baseline_shifted_36m,6,Current finalist Base case - 12c deferred 36 months: from 1 Jan 2030,base,0,current_basecase_12c_delay_36m,Current finalist Base case,base,delay_36m,12c deferred 36 months: from 1 Jan 2030,delayed_36m,36,12,2030Q1,2027Q1;2027Q2;2027Q3;2027Q4;2028Q1;2028Q2;2028Q3;2028Q4;2029Q1;2029Q2;2029Q3;2029Q4,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
baseline_no_uplift,7,Current finalist Base case - 12c uplift off,base,0,current_basecase_12c_no_uplift,Current finalist Base case,base,no_uplift,12c uplift off,no_uplift,-1,-1,,2027Q1_onward,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
low_published,8,Middle East conflict: Low - 12c original timing: from 1 Jan 2027,low,1,middle_east_low,Middle East conflict: Low,low,published,12c original timing: from 1 Jan 2027,published,0,0,2027Q1,,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
low_shifted_6m,9,Middle East conflict: Low - 12c deferred six months: from 1 Jul 2027,low,1,middle_east_low__12c_delay_6m,Middle East conflict: Low,low,delay_6m,12c deferred six months: from 1 Jul 2027,delayed_6m,6,2,2027Q3,2027Q1;2027Q2,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
low_shifted_12m,10,Middle East conflict: Low - 12c deferred 12 months: from 1 Jan 2028,low,1,middle_east_low__12c_delay_12m,Middle East conflict: Low,low,delay_12m,12c deferred 12 months: from 1 Jan 2028,delayed_12m,12,4,2028Q1,2027Q1;2027Q2;2027Q3;2027Q4,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
low_shifted_18m,11,Middle East conflict: Low - 12c deferred 18 months: from 1 Jul 2028,low,1,middle_east_low__12c_delay_18m,Middle East conflict: Low,low,delay_18m,12c deferred 18 months: from 1 Jul 2028,delayed_18m,18,6,2028Q3,2027Q1;2027Q2;2027Q3;2027Q4;2028Q1;2028Q2,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
low_shifted_24m,12,Middle East conflict: Low - 12c deferred 24 months: from 1 Jan 2029,low,1,middle_east_low__12c_delay_24m,Middle East conflict: Low,low,delay_24m,12c deferred 24 months: from 1 Jan 2029,delayed_24m,24,8,2029Q1,2027Q1;2027Q2;2027Q3;2027Q4;2028Q1;2028Q2;2028Q3;2028Q4,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
low_shifted_30m,13,Middle East conflict: Low - 12c deferred 30 months: from 1 Jul 2029,low,1,middle_east_low__12c_delay_30m,Middle East conflict: Low,low,delay_30m,12c deferred 30 months: from 1 Jul 2029,delayed_30m,30,10,2029Q3,2027Q1;2027Q2;2027Q3;2027Q4;2028Q1;2028Q2;2028Q3;2028Q4;2029Q1;2029Q2,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
low_shifted_36m,14,Middle East conflict: Low - 12c deferred 36 months: from 1 Jan 2030,low,1,middle_east_low__12c_delay_36m,Middle East conflict: Low,low,delay_36m,12c deferred 36 months: from 1 Jan 2030,delayed_36m,36,12,2030Q1,2027Q1;2027Q2;2027Q3;2027Q4;2028Q1;2028Q2;2028Q3;2028Q4;2029Q1;2029Q2;2029Q3;2029Q4,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
low_no_uplift,15,Middle East conflict: Low - 12c uplift off,low,1,middle_east_low__12c_no_uplift,Middle East conflict: Low,low,no_uplift,12c uplift off,no_uplift,-1,-1,,2027Q1_onward,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
medium_published,16,Middle East conflict: Medium - 12c original timing: from 1 Jan 2027,medium,2,middle_east_medium,Middle East conflict: Medium,medium,published,12c original timing: from 1 Jan 2027,published,0,0,2027Q1,,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
medium_shifted_6m,17,Middle East conflict: Medium - 12c deferred six months: from 1 Jul 2027,medium,2,middle_east_medium__12c_delay_6m,Middle East conflict: Medium,medium,delay_6m,12c deferred six months: from 1 Jul 2027,delayed_6m,6,2,2027Q3,2027Q1;2027Q2,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
medium_shifted_12m,18,Middle East conflict: Medium - 12c deferred 12 months: from 1 Jan 2028,medium,2,middle_east_medium__12c_delay_12m,Middle East conflict: Medium,medium,delay_12m,12c deferred 12 months: from 1 Jan 2028,delayed_12m,12,4,2028Q1,2027Q1;2027Q2;2027Q3;2027Q4,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
medium_shifted_18m,19,Middle East conflict: Medium - 12c deferred 18 months: from 1 Jul 2028,medium,2,middle_east_medium__12c_delay_18m,Middle East conflict: Medium,medium,delay_18m,12c deferred 18 months: from 1 Jul 2028,delayed_18m,18,6,2028Q3,2027Q1;2027Q2;2027Q3;2027Q4;2028Q1;2028Q2,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
medium_shifted_24m,20,Middle East conflict: Medium - 12c deferred 24 months: from 1 Jan 2029,medium,2,middle_east_medium__12c_delay_24m,Middle East conflict: Medium,medium,delay_24m,12c deferred 24 months: from 1 Jan 2029,delayed_24m,24,8,2029Q1,2027Q1;2027Q2;2027Q3;2027Q4;2028Q1;2028Q2;2028Q3;2028Q4,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
medium_shifted_30m,21,Middle East conflict: Medium - 12c deferred 30 months: from 1 Jul 2029,medium,2,middle_east_medium__12c_delay_30m,Middle East conflict: Medium,medium,delay_30m,12c deferred 30 months: from 1 Jul 2029,delayed_30m,30,10,2029Q3,2027Q1;2027Q2;2027Q3;2027Q4;2028Q1;2028Q2;2028Q3;2028Q4;2029Q1;2029Q2,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
medium_shifted_36m,22,Middle East conflict: Medium - 12c deferred 36 months: from 1 Jan 2030,medium,2,middle_east_medium__12c_delay_36m,Middle East conflict: Medium,medium,delay_36m,12c deferred 36 months: from 1 Jan 2030,delayed_36m,36,12,2030Q1,2027Q1;2027Q2;2027Q3;2027Q4;2028Q1;2028Q2;2028Q3;2028Q4;2029Q1;2029Q2;2029Q3;2029Q4,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
medium_no_uplift,23,Middle East conflict: Medium - 12c uplift off,medium,2,middle_east_medium__12c_no_uplift,Middle East conflict: Medium,medium,no_uplift,12c uplift off,no_uplift,-1,-1,,2027Q1_onward,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
high_published,24,Middle East conflict: High - 12c original timing: from 1 Jan 2027,high,3,middle_east_high,Middle East conflict: High,high,published,12c original timing: from 1 Jan 2027,published,0,0,2027Q1,,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
high_shifted_6m,25,Middle East conflict: High - 12c deferred six months: from 1 Jul 2027,high,3,middle_east_high__12c_delay_6m,Middle East conflict: High,high,delay_6m,12c deferred six months: from 1 Jul 2027,delayed_6m,6,2,2027Q3,2027Q1;2027Q2,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
high_shifted_12m,26,Middle East conflict: High - 12c deferred 12 months: from 1 Jan 2028,high,3,middle_east_high__12c_delay_12m,Middle East conflict: High,high,delay_12m,12c deferred 12 months: from 1 Jan 2028,delayed_12m,12,4,2028Q1,2027Q1;2027Q2;2027Q3;2027Q4,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
high_shifted_18m,27,Middle East conflict: High - 12c deferred 18 months: from 1 Jul 2028,high,3,middle_east_high__12c_delay_18m,Middle East conflict: High,high,delay_18m,12c deferred 18 months: from 1 Jul 2028,delayed_18m,18,6,2028Q3,2027Q1;2027Q2;2027Q3;2027Q4;2028Q1;2028Q2,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
high_shifted_24m,28,Middle East conflict: High - 12c deferred 24 months: from 1 Jan 2029,high,3,middle_east_high__12c_delay_24m,Middle East conflict: High,high,delay_24m,12c deferred 24 months: from 1 Jan 2029,delayed_24m,24,8,2029Q1,2027Q1;2027Q2;2027Q3;2027Q4;2028Q1;2028Q2;2028Q3;2028Q4,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
high_shifted_30m,29,Middle East conflict: High - 12c deferred 30 months: from 1 Jul 2029,high,3,middle_east_high__12c_delay_30m,Middle East conflict: High,high,delay_30m,12c deferred 30 months: from 1 Jul 2029,delayed_30m,30,10,2029Q3,2027Q1;2027Q2;2027Q3;2027Q4;2028Q1;2028Q2;2028Q3;2028Q4;2029Q1;2029Q2,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
high_shifted_36m,30,Middle East conflict: High - 12c deferred 36 months: from 1 Jan 2030,high,3,middle_east_high__12c_delay_36m,Middle East conflict: High,high,delay_36m,12c deferred 36 months: from 1 Jan 2030,delayed_36m,36,12,2030Q1,2027Q1;2027Q2;2027Q3;2027Q4;2028Q1;2028Q2;2028Q3;2028Q4;2029Q1;2029Q2;2029Q3;2029Q4,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
high_no_uplift,31,Middle East conflict: High - 12c uplift off,high,3,middle_east_high__12c_no_uplift,Middle East conflict: High,high,no_uplift,12c uplift off,no_uplift,-1,-1,,2027Q1_onward,current_model_behavioural_replay,Current-model path with the modelled activity response; only the initial 12c/L wedge is deferred and later planned increases retain their published dates.
