Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Stream,Cell,Model column,Q1 2026 value,Units,Input class,Status,Primary source,Quarterly method / formula,Source URL or workbook,Replacement / refresh rule
PED,PED Inputs!A98,period,2026Q1,text,System / deterministic,System,Model calendar,Derived from period 2026Q1 and sequential index 97.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Regenerate; never source manually.
PED,PED Inputs!B98,period_label,Mar 2026,text,System / deterministic,System,Model calendar,Derived from period 2026Q1 and sequential index 97.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Regenerate; never source manually.
PED,PED Inputs!C98,year,2026,index/count,System / deterministic,System,Model calendar,Derived from period 2026Q1 and sequential index 97.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Regenerate; never source manually.
PED,PED Inputs!D98,quarter,1,index/count,System / deterministic,System,Model calendar,Derived from period 2026Q1 and sequential index 97.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Regenerate; never source manually.
PED,PED Inputs!E98,period_index,97,index/count,System / deterministic,System,Model calendar,Derived from period 2026Q1 and sequential index 97.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Regenerate; never source manually.
PED,PED Inputs!F98,trend_index,97,index/count,System / deterministic,System,Model calendar,Derived from period 2026Q1 and sequential index 97.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Regenerate; never source manually.
PED,PED Inputs!G98,target,1355.8193183068997,km/person,Provisional quarterly bridge,Provisional—not independently observed,MBU26 annual spine + Core Data,FY2026 annual petrol-only VKT less 2025Q3/Q4 actual VKT; split Q1/Q2 by exact Gross PED revenue S77:S78; target = Q1 VKT / Q1 population.,https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv | /mnt/data/NLTF Core Data Report -Jun 2026 (1).xlsx,Replace immediately if MoT/NZTA publishes an exact national Q1 petrol-only VKT observation. Exclude from re-estimation by default.
PED,PED Inputs!H98,log_target,7.212161213535936,natural-log / dimensionless,Derived model feature,Derived exact,Same-row source variables,"Natural log, first difference, lag, or multiplicative interaction using the governed feature definition.",https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Generate in code with parity tests against the historical workbook; do not ask users to type feature-engineered columns.
PED,PED Inputs!I98,target_lag_1,1565.543534394911,km/person,Historical lag,Historical actual,NLTF_model_input_sheet_actuals_to_2025Q4.xlsx,Copied from the exact prior-quarter or four-quarter historical observation; logs are calculated from those values.,/mnt/data/NLTF_model_input_sheet_actuals_to_2025Q4.xlsx,"Refresh automatically from the appended history, never re-key."
PED,PED Inputs!J98,target_lag_4,1499.78577995301,km/person,Historical lag,Historical actual,NLTF_model_input_sheet_actuals_to_2025Q4.xlsx,Copied from the exact prior-quarter or four-quarter historical observation; logs are calculated from those values.,/mnt/data/NLTF_model_input_sheet_actuals_to_2025Q4.xlsx,"Refresh automatically from the appended history, never re-key."
PED,PED Inputs!K98,log_trend,4.574710978503383,natural-log / dimensionless,Derived model feature,Derived exact,Same-row source variables,"Natural log, first difference, lag, or multiplicative interaction using the governed feature definition.",https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/scripts/build_model_input_history.py,Generate in code with parity tests against the historical workbook; do not ask users to type feature-engineered columns.
PED,PED Inputs!L98,nominal_gdp_sa_nzd,114677316000,NZD,"Quarterly macro actual, vintage-linked",Published quarterly actual growth,RBNZ M5 / Stats NZ,Q4 workbook level × (1 + March-2026 nominal GDP q/q SA growth of 1.4%).,https://www.rbnz.govt.nz/statistics/series/economic-indicators/gross-domestic-product,"On refresh, chain the latest official nominal q/q SA growth onto the last accepted workbook-vintage level, or perform a governed full-history rebase."
PED,PED Inputs!M98,population,5361300,persons,Raw external actual,Published quarterly actual,RBNZ M12 / Stats NZ,"March-2026 estimated resident population: 5,361,300.",https://www.rbnz.govt.nz/statistics/series/economic-indicators/population-and-migration,Replace with later final population estimate only through a governed vintage refresh.
PED,PED Inputs!N98,nominal_gdp_per_capita_nzd,21389.833808964242,NZD/person,Derived macro field,Derived exact,"GDP, deflator and population inputs",Reproduce the existing workbook formulas: rebase nominal GDP with the GDP-deflator factor; divide by population for per-capita fields; natural-log positive levels.,https://www.rbnz.govt.nz/statistics/series/economic-indicators/gross-domestic-product | https://www.rbnz.govt.nz/statistics/series/economic-indicators/population-and-migration,Calculate centrally; do not request these as separate uploads.
PED,PED Inputs!O98,gdp_deflator_sa,1567.1821782178217,index,"Quarterly macro actual, reconciled",Derived from published quarterly actuals,RBNZ M5 / Stats NZ,"Q4 deflator × (1 + nominal q/q SA growth) / (1 + real q/q SA growth), so nominal and real GDP reconcile exactly.",https://www.rbnz.govt.nz/statistics/series/economic-indicators/gross-domestic-product,Use the same vintage-link rule unless the entire GDP history is rebased together.
PED,PED Inputs!P98,gdp_rebasing_factor,0.9960552268244576,factor,Derived macro field,Derived exact,"GDP, deflator and population inputs",Reproduce the existing workbook formulas: rebase nominal GDP with the GDP-deflator factor; divide by population for per-capita fields; natural-log positive levels.,https://www.rbnz.govt.nz/statistics/series/economic-indicators/gross-domestic-product | https://www.rbnz.govt.nz/statistics/series/economic-indicators/population-and-migration,Calculate centrally; do not request these as separate uploads.
PED,PED Inputs!Q98,real_gdp_per_capita_nzd,21305.455766325333,NZD/person,Derived macro field,Derived exact,"GDP, deflator and population inputs",Reproduce the existing workbook formulas: rebase nominal GDP with the GDP-deflator factor; divide by population for per-capita fields; natural-log positive levels.,https://www.rbnz.govt.nz/statistics/series/economic-indicators/gross-domestic-product | https://www.rbnz.govt.nz/statistics/series/economic-indicators/population-and-migration,Calculate centrally; do not request these as separate uploads.
PED,PED Inputs!R98,log_real_gdp_per_capita,9.966718458163555,natural-log / dimensionless,Derived macro field,Derived exact,"GDP, deflator and population inputs",Reproduce the existing workbook formulas: rebase nominal GDP with the GDP-deflator factor; divide by population for per-capita fields; natural-log positive levels.,https://www.rbnz.govt.nz/statistics/series/economic-indicators/gross-domestic-product | https://www.rbnz.govt.nz/statistics/series/economic-indicators/population-and-migration,Calculate centrally; do not request these as separate uploads.
PED,PED Inputs!S98,petrol_price_nominal_cents_per_litre,269.8,cents/litre,Raw external quarterly price,Published quarterly average / source-pack value,MBIE energy prices + current model source pack,March-2026 quarterly average in cents/litre; current source pack contains petrol 269.8 and diesel 214.6.,https://www.mbie.govt.nz/building-and-energy/energy-and-natural-resources/energy-statistics-and-modelling/energy-statistics/energy-prices | https://github.com/AdrianD234/NLTF-revenue-ML-model-dashboard/blob/main/data/engine_ar1/current_revenue_outlook/scenario_inputs/scenario_input_wide.csv,Replace only from the accepted MBIE/Stats NZ quarterly price extract; retain the CPI vintage used for real-price conversion.
PED,PED Inputs!T98,cpi_rebasing_factor,1,factor,Derived price-base factor,Derived exact,RBNZ M1 / Stats NZ,"March 2026 is the real-price base quarter, so CPI rebasing factor = 1339 / 1339 = 1.",https://www.rbnz.govt.nz/statistics/series/economic-indicators/prices,Recompute for every quarter as base-quarter CPI divided by quarter CPI.
PED,PED Inputs!U98,real_petrol_price_cents_per_litre,269.8,cents/litre,Derived real price,Derived exact,Nominal price + RBNZ CPI,Real price = nominal price × CPI rebasing factor. Q1 factor is 1 because March 2026 is the base.,https://www.rbnz.govt.nz/statistics/series/economic-indicators/prices,Recompute whenever CPI or the real-price base quarter changes.
