FY,fed_path,series_id,display_name,value,unit,row_role,source_basis,source_file,source_status,formula,replacement_only,official_value,residual_vs_official,availability_status
2025,Current planned path,heavy_ruc_effective_rate,Heavy RUC effective rate,278.6699812571969,"NZD/1,000 km",bridge_input,official_befu25_effective_rate,official_befu25_annual.csv,source_backed,"official Heavy RUC net revenue / official Heavy RUC net km * 1,000",False,,,available
2025,No 2027 12c uplift,heavy_ruc_effective_rate,Heavy RUC effective rate,278.6699812571969,"NZD/1,000 km",bridge_input,official_befu25_effective_rate,official_befu25_annual.csv,source_backed,"official Heavy RUC net revenue / official Heavy RUC net km * 1,000",False,,,available
2025,Selected rate,heavy_ruc_effective_rate,Heavy RUC effective rate,278.6699812571969,"NZD/1,000 km",bridge_input,official_befu25_effective_rate,official_befu25_annual.csv,source_backed,"official Heavy RUC net revenue / official Heavy RUC net km * 1,000",False,,,available
2025,Current planned path,heavy_ruc_net_km,Heavy RUC net km,3981.873439,million km,bridge_input,source_actual_anchor,annual_actuals.csv,registered,source-backed complete annual actual anchor,False,3981.873439,0.0,available
2025,No 2027 12c uplift,heavy_ruc_net_km,Heavy RUC net km,3981.873439,million km,bridge_input,source_actual_anchor,annual_actuals.csv,registered,source-backed complete annual actual anchor,False,3981.873439,0.0,available
2025,Selected rate,heavy_ruc_net_km,Heavy RUC net km,3981.873439,million km,bridge_input,source_actual_anchor,annual_actuals.csv,registered,source-backed complete annual actual anchor,False,3981.873439,0.0,available
2025,Current planned path,light_ruc_effective_rate,Light RUC effective rate,67.72310849568898,"NZD/1,000 km",bridge_input,official_befu25_effective_rate,official_befu25_annual.csv,source_backed,"official Light RUC net revenue / official Light RUC net km * 1,000",False,,,available
2025,No 2027 12c uplift,light_ruc_effective_rate,Light RUC effective rate,67.72310849568898,"NZD/1,000 km",bridge_input,official_befu25_effective_rate,official_befu25_annual.csv,source_backed,"official Light RUC net revenue / official Light RUC net km * 1,000",False,,,available
2025,Selected rate,light_ruc_effective_rate,Light RUC effective rate,67.72310849568898,"NZD/1,000 km",bridge_input,official_befu25_effective_rate,official_befu25_annual.csv,source_backed,"official Light RUC net revenue / official Light RUC net km * 1,000",False,,,available
2025,Current planned path,light_ruc_net_km,Light RUC net km,12273.983872,million km,bridge_input,source_actual_anchor,annual_actuals.csv,registered,source-backed complete annual actual anchor,False,12273.983872,0.0,available
