fed_path,quarter,FY,rate_nzd_per_litre,unit,value_status,source_note,source_sheet,source_workbook_sheet,source_workbook_row,source_cell
Selected rate,2013Q1,2013,0.50524,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,B5
Selected rate,2013Q2,2013,0.50524,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,C5
Selected rate,2013Q3,2014,0.53524,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,D5
Selected rate,2013Q4,2014,0.53524,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,E5
Selected rate,2014Q1,2014,0.53524,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,F5
Selected rate,2014Q2,2014,0.53524,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,G5
Selected rate,2014Q3,2015,0.56524,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,H5
Selected rate,2014Q4,2015,0.56524,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,I5
Selected rate,2015Q1,2015,0.56524,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,J5
Selected rate,2015Q2,2015,0.56524,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,K5
Selected rate,2015Q3,2016,0.59524,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,L5
Selected rate,2015Q4,2016,0.59524,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,M5
Selected rate,2016Q1,2016,0.59524,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,N5
Selected rate,2016Q2,2016,0.59524,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,O5
Selected rate,2016Q3,2017,0.59524,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,P5
Selected rate,2016Q4,2017,0.59524,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,Q5
Selected rate,2017Q1,2017,0.59524,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,R5
Selected rate,2017Q2,2017,0.59524,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,S5
Selected rate,2017Q3,2018,0.59524,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,T5
Selected rate,2017Q4,2018,0.59524,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,U5
Selected rate,2018Q1,2018,0.59524,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,V5
Selected rate,2018Q2,2018,0.59524,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,W5
Selected rate,2018Q3,2019,0.59562,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,X5
Selected rate,2018Q4,2019,0.63024,NZD/L,rate_path,Historical effective rate; mixed quarters day-weighted where needed,FED rates,FED rates,5,Y5
