series_id,display_name,unit,quarterly_unit,metric_type,annual_semantics,quarterly_source,befu26_available,mbu26_available,actual_available,native_quarterly_available,native_quarterly_traces,derived_quarterly_available,derived_quarterly_traces,first_quarter,last_quarter,derivation_method,seasonal_basis,annual_reconciliation_rule,positivity_rule,provenance_label,source_window,limitation,contract_version
light_petrol_vkt,Light petrol VKT,million km,million km,activity,sum,derived,True,True,True,False,,True,Actual; BEFU26 official; MBU26 official; PREBU26 official,2002Q3,2050Q2,denton_proportional_first_difference,ped_vkt_per_capita,sum_of_quarters_equals_annual,non_negative_required,derived quarterly presentation from official annual source,"official annual FY2003-FY2050 (BEFU26, MBU26); current-model annual from the selected PED bridge","Annual-only in every source. Before this contract the series had no official annual rows at all, so neither an annual nor a quarterly official line could draw. No native quarterly path exists for any trace; every quarter shown is derived from the June-year benchmark and is indicative display only.",revenue-outlook-quarterly-display-contract-v1
ped_vkt_per_capita,PED VKT per capita,km/person,VKT per capita,activity,rate,native,True,True,True,True,Actual; Current finalist Base case; Current finalist comparison behavioural path,True,BEFU26 official; Current finalist Base case; Current finalist comparison behavioural path; MBU26 official; PREBU26 official,2002Q1,2050Q2,native_published_quarterly,ped_vkt_per_capita,sum_of_quarters_equals_annual,non_negative_required,published quarterly value,native quarterly actuals from 2002Q1 to 2025Q4; current-model quarters to 2030Q4,"The published annual km/person is annual VKT over mean-year population, not the sum of four quarterly per-capita figures, so the NATIVE quarters sum to within 0.07-0.29% of the annual anchor rather than exactly. Derived quarters, where a trace has none, partition the annual anchor exactly and are labelled as derived.",revenue-outlook-quarterly-display-contract-v1
ped_volume,PED volume,million litres,million litres,activity,sum,derived,True,True,True,False,,True,Actual; BEFU26 official; Current finalist Base case; Current finalist High population/comparison; MBU26 official; PREBU26 official,2000Q3,2050Q2,denton_proportional_first_difference,ped_vkt_per_capita,sum_of_quarters_equals_annual,non_negative_required,derived quarterly presentation from official annual source,"annual chart rows FY2001-FY2050 (Actual, current model, official comparators)",No native quarterly path exists for any trace; every quarter shown is derived from the June-year benchmark and is indicative display only.,revenue-outlook-quarterly-display-contract-v1
light_ruc_net_km,Light RUC net km,million km,net km,activity,sum,native,True,True,True,True,Actual; Current finalist Base case; Current finalist High population/comparison,True,BEFU26 official; Current finalist Base case; Current finalist High population/comparison; MBU26 official; PREBU26 official,2009Q3,2050Q2,native_published_quarterly,light_ruc_net_km,sum_of_quarters_equals_annual,non_negative_required,published quarterly value,native quarterly actuals from 2009Q3 to 2025Q4; current-model quarters to 2030Q4,Quarterly is published in net km and annual in million km; the annual value is the quarterly sum divided by 1e6 exactly.,revenue-outlook-quarterly-display-contract-v1
heavy_ruc_net_km,Heavy RUC net km,million km,net km,activity,sum,native,True,True,True,True,Actual; Current finalist Base case; Current finalist High population/comparison,True,BEFU26 official; Current finalist Base case; Current finalist High population/comparison; MBU26 official; PREBU26 official,2009Q3,2050Q2,native_published_quarterly,heavy_ruc_net_km,sum_of_quarters_equals_annual,non_negative_required,published quarterly value,native quarterly actuals from 2009Q3 to 2025Q4; current-model quarters to 2030Q4,Quarterly is published in net km and annual in million km; the annual value is the quarterly sum divided by 1e6 exactly.,revenue-outlook-quarterly-display-contract-v1
light_bev_ruc_net_km,Light BEV RUC net km,million km,million km,activity,sum,derived,True,True,True,False,,True,Actual; BEFU26 official; Current finalist Base case; Current finalist High population/comparison; MBU26 official; PREBU26 official,2000Q3,2050Q2,denton_proportional_first_difference,light_ruc_net_km,sum_of_quarters_equals_annual,non_negative_required,derived quarterly presentation from official annual source,"annual chart rows FY2001-FY2050 (Actual, current model, official comparators)",No native quarterly path exists for any trace; every quarter shown is derived from the June-year benchmark and is indicative display only.,revenue-outlook-quarterly-display-contract-v1
phev_ruc_net_km,PHEV RUC net km,million km,million km,activity,sum,derived,True,True,True,False,,True,Actual; BEFU26 official; Current finalist Base case; Current finalist High population/comparison; MBU26 official; PREBU26 official,2000Q3,2050Q2,denton_proportional_first_difference,light_ruc_net_km,sum_of_quarters_equals_annual,non_negative_required,derived quarterly presentation from official annual source,"annual chart rows FY2001-FY2050 (Actual, current model, official comparators)",No native quarterly path exists for any trace; every quarter shown is derived from the June-year benchmark and is indicative display only.,revenue-outlook-quarterly-display-contract-v1
gross_ped_revenue,PED revenue,$m nominal ex GST,$m nominal ex GST,revenue,sum,derived,True,True,True,False,,True,Actual; BEFU26 official; Current finalist Base case; Current finalist High population/comparison; MBU26 official; PREBU26 official,2000Q3,2050Q2,denton_proportional_first_difference,ped_vkt_per_capita,sum_of_quarters_equals_annual,non_negative_required,derived quarterly presentation from official annual source,"annual chart rows FY2001-FY2050 (Actual, current model, official comparators)",No native quarterly path exists for any trace; every quarter shown is derived from the June-year benchmark and is indicative display only.,revenue-outlook-quarterly-display-contract-v1
light_ruc_net_revenue,Light RUC revenue,$m nominal ex GST,$m nominal ex GST,revenue,sum,derived,True,True,True,False,,True,Actual; BEFU26 official; Current finalist Base case; Current finalist High population/comparison; MBU26 official; PREBU26 official,2000Q3,2050Q2,denton_proportional_first_difference,light_ruc_net_km,sum_of_quarters_equals_annual,non_negative_required,derived quarterly presentation from official annual source,"annual chart rows FY2001-FY2050 (Actual, current model, official comparators)","No governed quarterly RUC rate schedule exists in the pack - rate_paths derives quarterly RUC factors only for the FED policy counterfactuals, not a base nominal path - so this split follows net km alone and a mid-year RUC rate change would appear spread across its fiscal year rather than stepping in its own quarter. No native quarterly path exists for any trace; every quarter shown is derived from the June-year benchmark and is indicative display only.",revenue-outlook-quarterly-display-contract-v1
light_bev_ruc_net_revenue,Light BEV RUC net revenue,$m nominal ex GST,$m nominal ex GST,revenue,sum,derived,True,True,True,False,,True,Actual; BEFU26 official; Current finalist Base case; Current finalist High population/comparison; MBU26 official; PREBU26 official,2000Q3,2050Q2,denton_proportional_first_difference,light_ruc_net_km,sum_of_quarters_equals_annual,non_negative_required,derived quarterly presentation from official annual source,"annual chart rows FY2001-FY2050 (Actual, current model, official comparators)","No governed quarterly RUC rate schedule exists in the pack - rate_paths derives quarterly RUC factors only for the FED policy counterfactuals, not a base nominal path - so this split follows net km alone and a mid-year RUC rate change would appear spread across its fiscal year rather than stepping in its own quarter. No native quarterly path exists for any trace; every quarter shown is derived from the June-year benchmark and is indicative display only.",revenue-outlook-quarterly-display-contract-v1
